Date,Time,CH01,CH02,CH03,CH04,CH05,CH06
4/9/2026,17:30:04,0,0,0,0,0,1
4/9/2026,17:30:09,0,0,0,0,0,1
4/9/2026,17:30:14,0,0,0,0,0,1
4/9/2026,17:30:19,0,0,0,0,0,1
4/9/2026,17:30:24,0,0,0,0,0,1
4/9/2026,17:30:29,0,0,0,0,0,1
4/9/2026,17:30:34,0,0,0,0,0,1
4/9/2026,17:30:39,0,0,0,0,0,1
4/9/2026,17:30:44,0,0,0,0,0,1
4/9/2026,17:30:49,0,0,0,0,0,1
4/9/2026,17:30:54,0,0,0,0,0,1
4/9/2026,17:30:59,0,0,0,0,0,1
4/9/2026,17:31:04,0,0,0,0,0,1
4/9/2026,17:31:08,0,0,0,0,0,0
4/9/2026,17:31:09,0,0,0,0,0,1
4/9/2026,17:31:14,0,0,0,0,0,1
4/9/2026,17:31:19,0,0,0,0,0,1
4/9/2026,17:31:24,0,0,0,0,0,1
4/9/2026,17:31:29,0,0,0,0,0,1
4/9/2026,17:31:34,0,0,0,0,0,1
4/9/2026,17:31:39,0,0,0,0,0,1
4/9/2026,17:31:44,0,0,0,0,0,1
4/9/2026,17:31:49,0,0,0,0,0,1
4/9/2026,17:31:54,0,0,0,0,0,1
4/9/2026,17:31:59,0,0,0,0,0,1
4/9/2026,17:32:04,0,0,0,0,0,1
4/9/2026,17:32:09,0,0,0,0,0,1
4/9/2026,17:32:14,0,0,0,0,0,1
4/9/2026,17:32:19,0,0,0,0,0,1
4/9/2026,17:32:24,0,0,0,0,0,1
4/9/2026,17:32:29,0,0,0,0,0,1
4/9/2026,17:32:34,0,0,0,0,0,1
4/9/2026,17:32:39,0,0,0,0,0,1
4/9/2026,17:32:44,0,0,0,0,0,1
4/9/2026,17:32:49,0,0,0,0,0,1
4/9/2026,17:32:54,0,0,0,0,0,1
4/9/2026,17:32:59,0,0,0,0,0,1
4/9/2026,17:33:04,0,0,0,0,0,1
4/9/2026,17:33:08,0,0,0,0,0,0
4/9/2026,17:33:09,0,0,0,0,0,1
4/9/2026,17:33:14,0,0,0,0,0,1
4/9/2026,17:33:19,0,0,0,0,0,1
4/9/2026,17:33:24,0,0,0,0,0,1
4/9/2026,17:33:29,0,0,0,0,0,1
4/9/2026,17:33:34,0,0,0,0,0,1
4/9/2026,17:33:39,0,0,0,0,0,1
4/9/2026,17:33:44,0,0,0,0,0,1
4/9/2026,17:33:49,0,0,0,0,0,1
4/9/2026,17:33:54,0,0,0,0,0,1
4/9/2026,17:33:59,0,0,0,0,0,1
4/9/2026,17:34:04,0,0,0,0,0,1
4/9/2026,17:34:09,0,0,0,0,0,1
4/9/2026,17:34:14,0,0,0,0,0,1
4/9/2026,17:34:19,0,0,0,0,0,1
4/9/2026,17:34:24,0,0,0,0,0,1
4/9/2026,17:34:29,0,0,0,0,0,1
4/9/2026,17:34:34,0,0,0,0,0,1
4/9/2026,17:34:39,0,0,0,0,0,1
4/9/2026,17:34:44,0,0,0,0,0,1
4/9/2026,17:34:49,0,0,0,0,0,1
4/9/2026,17:34:54,0,0,0,0,0,1
4/9/2026,17:34:59,0,0,0,0,0,1
4/9/2026,17:35:04,0,0,0,0,0,1
4/9/2026,17:35:08,0,0,0,0,0,0
4/9/2026,17:35:09,0,0,0,0,0,1
4/9/2026,17:35:14,0,0,0,0,0,1
4/9/2026,17:35:19,0,0,0,0,0,1
4/9/2026,17:35:24,0,0,0,0,0,1
4/9/2026,17:35:29,0,0,0,0,0,1
4/9/2026,17:35:34,0,0,0,0,0,1
4/9/2026,17:35:39,0,0,0,0,0,1
4/9/2026,17:35:44,0,0,0,0,0,1
4/9/2026,17:35:49,0,0,0,0,0,1
4/9/2026,17:35:54,0,0,0,0,0,1
